ID,HouseType,Size,Price,LotSize,Balcony,LivingSpace,NumberRooms,YearBuilt,Locality,PostalCode
4000700548,MULTIPLE_DWELLING,L,2491650.0,1484.0,,,,1986.0,Chénens,1744
4000700547,MULTIPLE_DWELLING,L,2491650.0,1484.0,,,,1986.0,Chénens,1744
4000699965,ROW_HOUSE,L,1176000.0,192.0,,140.0,8.5,1969.0,Aesch BL,4147
4000698103,SINGLE_HOUSE,L,2058000.0,403.0,,290.0,11.5,1908.0,Wald ZH,8636
4000698023,SINGLE_HOUSE,L,1984500.0,1026.0,,180.0,7.5,2018.0,Schleitheim,8226
4000695794,BIFAMILIAR_HOUSE,L,2910600.0,499.0,,250.0,8.5,1984.0,Hombrechtikon,8634
4000671801,BIFAMILIAR_HOUSE,L,808500.0,495.0,,140.0,8.5,1966.0,Bannwil,4913
4000671800,BIFAMILIAR_HOUSE,L,1161300.0,502.0,,250.0,11.5,1963.0,Bannwil,4913
4000670022,BIFAMILIAR_HOUSE,L,1793400.0,,,140.0,7.5,,Reinach,4153
4000669945,SINGLE_HOUSE,L,3675000.0,809.0,,230.0,9.0,1968.0,Wädenswil,8820
4000666180,SINGLE_HOUSE,L,1323000.0,506.0,,170.0,8.5,1993.0,Münchwilen TG,9542
4000660069,ROW_HOUSE,L,1793400.0,393.0,,180.0,7.5,1997.0,Ebikon,6030
4000651589,SINGLE_HOUSE,L,4093950.0,820.0,,260.0,8.5,1980.0,Gockhausen,8044
4000637882,ROW_HOUSE,L,1293600.0,,,270.0,8.5,2023.0,Cressier FR,1785
4000637881,ROW_HOUSE,L,1293600.0,,,270.0,8.5,2023.0,Cressier FR,1785
4000633233,ROW_HOUSE,L,1425900.0,228.0,,570.0,14.0,1600.0,Laufenburg,5080
4000633230,ROW_HOUSE,L,1837500.0,203.0,,210.0,8.5,2006.0,Worb,3076
4000624770,SINGLE_HOUSE,L,676200.0,370.0,,220.0,9.5,1890.0,Aarwangen,4912
4000601209,BIFAMILIAR_HOUSE,L,1470000.0,400.0,,140.0,7.5,1986.0,Gerolfingen,2575
4000589456,BIFAMILIAR_HOUSE,L,1786050.0,570.0,,250.0,7.5,2025.0,Thierachern,3634
4000563563,SINGLE_HOUSE,L,1896300.0,839.0,,300.0,11.0,2020.0,Oberbuchsiten,4625
4000536360,FARM_HOUSE,L,1734600.0,1469.0,,360.0,7.0,1761.0,Le Locle,2400
4000535861,ROW_HOUSE,L,1271550.0,139.0,,230.0,9.5,2004.0,Lätti,3053
4000502611,SINGLE_HOUSE,L,1911000.0,541.0,,220.0,8.5,2004.0,Tschingel ob Gunten,3656
4000486758,SINGLE_HOUSE,L,4336500.0,535.0,,330.0,9.5,2000.0,Volketswil,8604
4000478879,BIFAMILIAR_HOUSE,L,1984500.0,414.0,,220.0,8.5,1985.0,Killwangen,8956
4000478876,SINGLE_HOUSE,L,1455300.0,859.0,,220.0,11.5,1967.0,Busswil TG,8371
4000478875,SINGLE_HOUSE,L,3381000.0,,,250.0,9.5,,Altendorf,8852
4000478873,BIFAMILIAR_HOUSE,L,1161300.0,231.0,,140.0,7.5,1923.0,Bern,3007
4000436683,SINGLE_HOUSE,L,1749300.0,2007.0,,290.0,11.5,1982.0,Schleitheim,8226
4000424015,ROW_HOUSE,L,2425500.0,66.0,,127.0,3.0,1899.0,Zürich,8003
4000391834,SINGLE_HOUSE,L,1793400.0,601.0,,240.0,9.5,1955.0,Windisch,5210
4000358170,SINGLE_HOUSE,L,1455300.0,283.0,,290.0,9.5,1993.0,Bösingen,3178
4000349260,ROW_HOUSE,L,1014300.0,,,220.0,8.5,1975.0,Wittnau,5064
4000315456,SINGLE_HOUSE,L,2337300.0,1901.0,,310.0,9.0,2000.0,Kyburg-Buchegg,4586
